,Book_Name,Author,Rating,Score,Votes,Average_Rating
286,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,493889,51861,547,4.66
287,"Inkheart (Inkworld, #1)",Cornelia Funke,423851,51639,653,3.92
288,"Neverwhere (London Below, #1)",Neil Gaiman,530067,51502,629,4.17
289,"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,200376,51343,657,4.09
290,King Lear,William Shakespeare,218898,50903,695,3.91
291,The Things They Carried,Tim O'Brien,313591,50850,614,4.14
292,"Delirium (Delirium, #1)",Lauren Oliver,466371,50822,584,3.95
293,Invisible Man,Ralph Ellison,187895,50601,630,3.91
294,White Oleander,Janet Fitch,353296,50508,629,3.99
295,"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,682836,50481,570,4.01
296,Blood River: A Journey to Africa’s Broken Heart,Tim Butcher,11386,50382,510,3.98
297,Uncle Tom’s Cabin,Harriet Beecher Stowe,227357,50075,693,3.91
298,Different Seasons,Stephen King,205271,49647,650,4.35
299,Midnight Sun [2008 Draft],Stephenie Meyer,148516,48761,572,4.01
300,"All Creatures Great and Small (All Creatures Great and Small, #1-2)",James Herriot,146648,48678,643,4.35
301,"Foundation (Foundation, #1)",Isaac Asimov,539162,48488,592,4.17
302,"The Once and Future King (The Once and Future King, #1-4)",T.H. White,108156,48470,607,4.07
303,Never Let Me Go,Kazuo Ishiguro,694319,48185,582,3.85
304,I Know This Much Is True,Wally Lamb,312468,47989,573,4.2
305,Flow Down Like Silver,Ki Longfellow,4480,47789,494,4.0
306,James and the Giant Peach,Roald Dahl,473466,47704,671,4.03
307,"Ready Player One (Ready Player One, #1)",Ernest Cline,1167841,47662,540,4.23
308,The Historian,Elizabeth Kostova,265547,47466,569,3.8
309,"Wonder (Wonder, #1)",R.J. Palacio,1086198,47373,551,4.37
310,"Lamb: The Gospel According to Biff, Christ’s Childhood Pal",Christopher Moore,173692,47357,529,4.23
311,Candide,Voltaire,276591,47301,622,3.76
312,The Time Machine,H.G. Wells,519126,47230,660,3.9
313,Paradise Lost,John Milton,165935,47082,632,3.84
314,The Complete Works,William Shakespeare,55341,46916,609,4.48
315,The Thirteenth Tale,Diane Setterfield,313105,46430,562,3.98
316,Heidi,Johanna Spyri,199366,46397,644,4.03
317,"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,590431,46386,582,4.41
318,"Shatter Me (Shatter Me, #1)",Tahereh Mafi,882267,46108,518,3.86
319,Leaves of Grass,Walt Whitman,103163,46048,624,4.12
320,"The Wise Man’s Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,556429,45903,508,4.55
321,"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,531323,45581,566,4.22
322,"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,601129,45544,557,4.47
323,"Graceling (Graceling Realm, #1)",Kristin Cashore,461385,44996,534,4.07
324,The Cider House Rules,John Irving,185209,44332,598,4.16
325,"Are You There God? It’s Me, Margaret",Judy Blume,239607,44327,594,3.94
326,"The Final Empire (Mistborn, #1)",Brandon Sanderson,689502,44203,488,4.48
327,"Me Before You (Me Before You, #1)",Jojo Moyes,1629194,43997,509,4.26
328,’Salem’s Lot,Stephen King,455961,43625,551,4.06
329,Walden,Henry David Thoreau,189243,43053,582,3.78
330,Fangirl,Rainbow Rowell,745544,42979,496,3.95
331,The Martian,Andy Weir,1121357,42786,501,4.42
332,"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,2494237,42747,488,4.2
333,East of Eden,John Steinbeck,538985,42449,504,4.41
334,Sophie’s World,Jostein Gaarder,259435,42185,512,3.96
335,Mrs. Dalloway,Virginia Woolf,306542,41999,547,3.79
336,"Legend (Legend, #1)",Marie Lu,529170,41731,475,4.16
337,Fried Green Tomatoes at the Whistle Stop Cafe (Whistle Stop #1),Fannie Flagg,306653,41394,573,4.28
338,"The Hound of the Baskervilles (Sherlock Holmes, #5)",Arthur Conan Doyle,345879,41389,567,4.13
339,The Awakening,Kate Chopin,208678,41229,525,3.68
340,Hamlet,William Shakespeare,952196,41011,513,4.02
341,The Complete Maus,Art Spiegelman,220269,40684,515,4.57
342,All the Light We Cannot See,Anthony Doerr,1661958,40188,465,4.32
343,Sophie’s Choice,William Styron,91067,39978,544,4.17
344,The Graveyard Book,Neil Gaiman,538811,39685,500,4.16
345,Middlemarch,George Eliot,162917,39586,494,4.02
346,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,909881,39503,467,3.83
347,The Prince of Tides,Pat Conroy,208551,39469,520,4.25
348,Stardust,Neil Gaiman,454008,39421,507,4.1
349,The Monster at the End of this Book,Jon Stone,125025,39408,488,4.46
350,Do Androids Dream of Electric Sheep?,Philip K. Dick,451904,39265,505,4.09
351,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,540224,39093,494,3.97
352,"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,371944,38930,506,3.73
353,Number the Stars,Lois Lowry,567943,38561,508,4.19
354,Eleanor & Park,Rainbow Rowell,1171502,38550,450,3.94
355,"A Time to Kill (Jake Brigance, #1)",John Grisham,801213,38477,520,4.11
356,Black Beauty,Anna Sewell,278377,38371,554,3.99
